Date,HFR_Total,HFR_Active_Trading,HFR_Commodity,HFR_Discretionary_Thematic,HFR_Multi-Strategy,HFR_Systematic_Diversified,HFR_Weighted_Composite
03-2010,1.5902,-0.5463,1.5799,1.6942,1.2667,2.2408,2.49
04-2010,0.8176,0.7022,1.5446,0.2587,0.6508,0.7,1.19
05-2010,-1.5831,0.4451,-2.5833,-2.2908,-2.5623,-1.5877,-2.89
06-2010,-0.1159,0.0293,-0.3528,-0.4579,0.5805,-0.0265,-0.95
07-2010,-0.0623,-0.0902,0.1208,0.274,0.8351,-0.6084,1.61
08-2010,1.6891,1.4344,1.4074,0.4997,1.1833,3.0806,-0.13
09-2010,2.7353,0.537,3.5921,2.9062,2.7232,2.9602,3.48
10-2010,2.2308,0.1698,3.7142,1.2695,1.2205,3.3204,2.14
11-2010,-0.9163,-0.7382,1.3276,0.0317,-0.7067,-2.6345,0.19
12-2010,3.3396,2.0514,4.2208,2.1525,2.8514,4.7033,2.95
01-2011,-0.7212,-0.6138,-0.3179,-0.4174,0.0715,-1.1037,0.41
02-2011,1.2753,-0.1137,2.3835,1.0053,0.5413,1.5687,1.23
03-2011,-1.0906,-2.111,-1.1784,-0.9243,-0.4424,-1.8104,0.06
04-2011,2.3708,0.3785,1.6332,1.0137,1.6703,4.0828,1.48
05-2011,-2.3015,-0.0507,-1.8288,-1.8525,-1.3755,-3.5468,-1.2
06-2011,-1.7408,-0.8463,-1.7293,-1.181,-1.6816,-2.4117,-1.18
07-2011,1.6557,0.9396,1.8647,0.6905,-0.2223,3.264,0.23
08-2011,-0.5112,1.1496,-0.4362,-1.4972,-2.1006,0.5851,-3.21
09-2011,-1.2434,0.4253,-2.5853,-3.306,-0.9692,-0.2898,-3.89
10-2011,-0.9241,-0.8929,0.838,1.3593,-0.0035,-3.3256,2.69
11-2011,-0.6527,-0.1647,-0.3935,-0.8127,-1.4011,-0.5043,-1.35
12-2011,-0.2477,-1.17,-0.708,-0.5414,-0.6006,0.2133,-0.45
01-2012,1.2674,1.0212,1.5572,2.8575,1.6356,0.4097,2.78
02-2012,0.7895,0.0199,0.2438,1.2177,1.3269,0.9016,2.06
03-2012,-1.3186,-0.6409,-1.5749,-0.7875,-0.6727,-1.8748,-0.18
04-2012,-0.5793,0.1566,-0.7775,-1.1508,-0.1988,-0.4991,-0.51
05-2012,0.4037,0.0184,-1.9356,-2.0054,-1.0217,3.4829,-2.61
06-2012,-1.4202,-1.5304,0.0893,-0.0916,-0.2587,-3.2282,0.29
07-2012,2.0089,2.5809,2.1144,0.4628,1.7622,3.1374,0.87
08-2012,-0.2282,-0.4999,0.7497,0.4319,0.4984,-1.1491,0.82
09-2012,-0.0302,-0.7865,-0.0193,1.6436,0.6933,-1.0602,1.31
10-2012,-1.8373,-1.4238,-2.1565,-0.9952,-0.2348,-3.188,-0.38
11-2012,-0.0645,1.0203,-0.8056,-0.0482,0.2534,-0.2522,0.41
12-2012,1.0211,1.3476,0.0143,1.9682,1.0205,1.03,1.44
01-2013,1.527,2.4385,0.6384,2.2873,1.5737,1.4715,2.51
02-2013,-0.6791,0.7457,-1.4479,-0.4764,-0.5037,-1.0563,0.11
03-2013,0.4074,0.5384,-0.2397,0.1807,0.2227,0.8772,0.95
04-2013,0.6529,1.0708,-1.215,-0.2615,0.7041,2.2357,0.63
05-2013,-1.251,-1.4541,-1.6658,-0.0604,-0.0448,-2.2576,0.48
06-2013,-1.5689,-0.4699,-1.437,-1.7308,-1.1388,-2.1253,-1.47
07-2013,-0.0561,-0.6575,1.2496,0.211,0.573,-0.9079,1.3
08-2013,-1.0825,-0.6843,-0.0045,-1.2182,-1.4519,-1.413,-0.7
09-2013,-0.1663,0.4442,-1.5262,0.7024,0.8354,-0.4759,1.58
10-2013,0.8294,1.4337,-0.0057,0.6928,1.0529,1.287,1.51
11-2013,0.5238,1.1207,-0.4958,0.0358,1.1511,1.0942,0.89
12-2013,0.4705,0.5268,0.1951,0.4794,0.9419,0.5233,1.05
01-2014,-0.8515,-0.0834,0.7032,-1.0988,-0.8845,-1.6939,-0.54
02-2014,1.439,0.8434,2.4003,1.5636,0.46,1.7452,1.97
03-2014,-0.9009,-0.1172,-0.6998,-0.6141,-0.7607,-1.621,-0.29
04-2014,0.0625,0.4513,1.2631,-0.3663,-0.5894,0.0244,-0.22
05-2014,0.569,1.5987,-1.2587,0.5848,1.1856,0.9814,0.92
06-2014,0.6955,0.476,1.1032,0.754,0.8208,0.7659,1.3
07-2014,-0.3952,-1.2302,-0.8646,-0.3554,0.2806,-0.4636,-0.63
08-2014,1.5006,2.2698,0.9576,-0.165,1.1445,2.7537,1.24
09-2014,1.078,0.9053,0.0791,-0.5908,1.2867,2.2839,-0.9
10-2014,-0.2026,-0.0866,-0.9034,-0.83,-0.7204,0.4309,-0.37
11-2014,2.6325,3.0377,-0.5831,0.5454,3.0034,4.5505,1.23
