gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
005038,000003,19810930,20010627,S&P 500 Comp-Ltd,I0003,HARCOURT GENERAL INC,H.2
009411,000003,19810930,20120628,S&P 500 Comp-Ltd,I0003,HILLSHIRE BRANDS CO,HSH
007116,000003,19820331,,S&P 500 Comp-Ltd,I0003,MATTEL INC,MAT
011366,000003,19820331,20080929,S&P 500 Comp-Ltd,I0003,WENDY'S INTERNATIONAL INC,WEN.2
007267,000003,19820630,20090101,S&P 500 Comp-Ltd,I0003,MERRILL LYNCH & CO INC,BAC2
011259,000003,19820831,,S&P 500 Comp-Ltd,I0003,WAL-MART STORES INC,WMT
009778,000003,19820930,,S&P 500 Comp-Ltd,I0003,SNAP-ON INC,SNA
010016,000003,19820930,,S&P 500 Comp-Ltd,I0003,STANLEY BLACK & DECKER INC,SWK
009217,000003,19820930,20090401,S&P 500 Comp-Ltd,I0003,ROHM AND HAAS CO,ROH
002435,000003,19821031,,S&P 500 Comp-Ltd,I0003,BROWN-FORMAN  -CL B,BF.B
001690,000003,19821130,,S&P 500 Comp-Ltd,I0003,APPLE INC,AAPL
008068,000003,19821231,,S&P 500 Comp-Ltd,I0003,OCCIDENTAL PETROLEUM CORP,OXY
009299,000003,19821231,,S&P 500 Comp-Ltd,I0003,RYDER SYSTEM INC,R
004371,000003,19830731,20060605,S&P 500 Comp-Ltd,I0003,ENGELHARD CORP,EC.2
003362,000003,19830831,,S&P 500 Comp-Ltd,I0003,CONAGRA FOODS INC,CAG
006733,000003,19830930,,S&P 500 Comp-Ltd,I0003,L BRANDS INC,LB
010639,000003,19830930,20050721,S&P 500 Comp-Ltd,I0003,TOYS R US INC,1231B
002136,000003,19831130,,S&P 500 Comp-Ltd,I0003,VERIZON COMMUNICATIONS INC,VZ
009899,000003,19831130,,S&P 500 Comp-Ltd,I0003,AT&T INC,T
002146,000003,19831130,20070103,S&P 500 Comp-Ltd,I0003,BELLSOUTH CORP,BLS
006829,000003,19840229,,S&P 500 Comp-Ltd,I0003,LOWE'S COMPANIES INC,LOW
008823,000003,19840430,,S&P 500 Comp-Ltd,I0003,PULTEGROUP INC,PHM
001380,000003,19840531,,S&P 500 Comp-Ltd,I0003,HESS CORP,HES
001161,000003,19840630,20130922,S&P 500 Comp-Ltd,I0003,ADVANCED MICRO DEVICES,AMD
006774,000003,19840731,,S&P 500 Comp-Ltd,I0003,LOCKHEED MARTIN CORP,LMT
004040,000003,19840731,20121211,S&P 500 Comp-Ltd,I0003,DONNELLEY (R R) & SONS CO,RRD
005518,000003,19840930,,S&P 500 Comp-Ltd,I0003,HASBRO INC,HAS
001988,000003,19841031,,S&P 500 Comp-Ltd,I0003,BALL CORP,BLL
009635,000003,19841031,20000607,S&P 500 Comp-Ltd,I0003,SHARED MEDICAL SYSTEMS CORP,SMS.2
006403,000003,19841031,20060810,S&P 500 Comp-Ltd,I0003,KERR-MCGEE CORP,KMG.1
006768,000003,19841031,20081201,S&P 500 Comp-Ltd,I0003,KATE SPADE & CO,KATE
009293,000003,19841130,20001211,S&P 500 Comp-Ltd,I0003,RUSSELL CORP,RML.1
001240,000003,19841130,20060601,S&P 500 Comp-Ltd,I0003,ALBERTSON'S INC,ABS.1
001651,000003,19841130,20061001,S&P 500 Comp-Ltd,I0003,ANDREW CORP,ANDW
007866,000003,19841130,20101219,S&P 500 Comp-Ltd,I0003,NEW YORK TIMES CO  -CL A,NYT
010190,000003,19850131,20120430,S&P 500 Comp-Ltd,I0003,SUPERVALU INC,SVU
009258,000003,19850131,20140818,S&P 500 Comp-Ltd,I0003,ROWAN COMPANIES PLC,RDC
001209,000003,19850430,,S&P 500 Comp-Ltd,I0003,AIR PRODUCTS & CHEMICALS INC,APD
008030,000003,19850430,,S&P 500 Comp-Ltd,I0003,NUCOR CORP,NUE
004145,000003,19850531,,S&P 500 Comp-Ltd,I0003,PERKINELMER INC,PKI
003130,000003,19850531,20010129,S&P 500 Comp-Ltd,I0003,EL PASO CGP CO,EP2
007985,000003,19850630,,S&P 500 Comp-Ltd,I0003,NORTHROP GRUMMAN CORP,NOC
005742,000003,19850731,,S&P 500 Comp-Ltd,I0003,CENTERPOINT ENERGY INC,CNP
011672,000003,19850930,,S&P 500 Comp-Ltd,I0003,TJX COMPANIES INC,TJX
004058,000003,19851031,,S&P 500 Comp-Ltd,I0003,DOVER CORP,DOV
008358,000003,19851130,,S&P 500 Comp-Ltd,I0003,PARKER-HANNIFIN CORP,PH
006802,000003,19851130,20010701,S&P 500 Comp-Ltd,I0003,LONGS DRUG STORES CORP,LDG
010726,000003,19860131,20071220,S&P 500 Comp-Ltd,I0003,TRIBUNE MEDIA CO,TRBAA
005878,000003,19860228,,S&P 500 Comp-Ltd,I0003,ILLINOIS TOOL WORKS,ITW
003863,000003,19860430,20041219,S&P 500 Comp-Ltd,I0003,DELUXE CORP,DLX
006268,000003,19860531,,S&P 500 Comp-Ltd,I0003,JOHNSON CONTROLS INC,JCI
006226,000003,19860531,20001123,S&P 500 Comp-Ltd,I0003,FORT JAMES CORP,FJ
002085,000003,19860531,20071028,S&P 500 Comp-Ltd,I0003,BAUSCH & LOMB HLDGS  -REDH,6583B
004990,000003,19860831,,S&P 500 Comp-Ltd,I0003,GAP INC,GPS
007922,000003,19860831,,S&P 500 Comp-Ltd,I0003,NORDSTROM INC,JWN
007228,000003,19861031,,S&P 500 Comp-Ltd,I0003,MEDTRONIC INC,MDT
003964,000003,19861031,20081021,S&P 500 Comp-Ltd,I0003,DILLARDS INC  -CL A,DDS
002269,000003,19861130,,S&P 500 Comp-Ltd,I0003,BLOCK H & R INC,HRB
010247,000003,19861231,,S&P 500 Comp-Ltd,I0003,SYSCO CORP,SYY
009611,000003,19861231,20000315,S&P 500 Comp-Ltd,I0003,SERVICE CORP INTERNATIONAL,SCI
007773,000003,19861231,20011202,S&P 500 Comp-Ltd,I0003,NATIONAL SERVICE INDS INC,NSI.1
010946,000003,19861231,20020514,S&P 500 Comp-Ltd,I0003,US AIRWAYS GROUP INC-OLD,3UAIRQ
