Effective date ,S&P 500 Consumer Staples (Sector) (TR),S&P 500 Consumer Staples (Sector),S&P 500 Information Technology (Sector) (TR),S&P 500 Information Technology (Sector)
9/5/11,362.88,279.56,419.64,399.75
9/6/11,359.03,276.4,420.83,400.88
9/7/11,361.5,278.18,412.32,392.77
9/8/11,357.82,275.35,412.71,393.1
9/11/11,358.64,275.98,418.61,398.72
9/12/11,363.83,279.97,416.11,396.29
9/13/11,364.93,280.28,416.32,396.5
9/14/11,366.03,281.13,415.08,395.32
9/15/11,366.7,281.64,412.97,393.3
9/18/11,365.3,280.57,421.34,401.27
9/19/11,371.81,285.57,422.74,402.61
9/20/11,373.52,286.85,423.06,402.91
9/21/11,372.13,285.78,426.26,405.96
9/22/11,373.12,286.55,427.48,407.12
9/25/11,372.71,286.23,431.86,411.3
9/26/11,372.73,286.24,432.77,412.16
9/27/11,375.94,288.7,433.34,412.7
9/28/11,377.27,289.72,432.59,411.97
9/29/11,377.75,290.1,438.47,417.57
10/2/11,376.97,289.49,438.96,418.04
10/3/11,377.6,289.98,434.77,414.05
10/4/11,376.17,288.84,434.27,413.57
10/5/11,377.08,289.53,439.78,418.82
10/6/11,378.09,290.28,443.12,422
10/9/11,377.3,289.67,445.55,424.31
10/10/11,378.39,290.51,446.89,425.59
10/11/11,379.66,291.48,441.1,420.07
10/12/11,379.6,291.42,446.02,424.77
10/13/11,381.49,292.87,442.87,421.76
10/16/11,378.94,290.91,441.3,420.27
10/17/11,378.35,290.46,447.98,426.63
10/18/11,379.56,291.14,448.6,427.22
10/19/11,379.8,291.3,436.87,416.04
10/20/11,374.8,287.47,441.02,420
10/23/11,377.88,289.83,447.11,425.8
10/24/11,378.34,290.19,442.26,421.18
10/25/11,379.15,290.77,440.78,419.77
10/26/11,380.81,292.04,451.17,429.67
10/27/11,383.53,294.12,453.03,431.41
10/30/11,385.04,295.27,455.72,433.95
10/31/11,382.13,293.04,463.5,441.36
11/1/11,384.59,294.91,455.72,433.95
11/2/11,377.44,289.42,459.46,437.5
11/3/11,379.15,290.74,457.97,435.96
11/6/11,379.77,291.21,462.3,440.08
11/7/11,382.5,293.3,450.32,428.57
11/8/11,377.36,289.28,432.83,411.93
11/9/11,381.63,292.56,418.95,398.71
11/10/11,378.53,290.18,412.62,392.68
11/13/11,377.59,289.46,429.24,408.29
11/14/11,384.84,294.99,422.81,402.17
11/15/11,385.02,295.12,419.73,399.24
11/16/11,384.26,294.54,425.48,404.7
11/17/11,388.34,297.67,419.12,398.65
11/20/11,385.7,295.63,420.96,400.41
11/21/11,387.85,297.27,414.99,394.72
11/22/11,383.5,293.93,420.18,399.66
11/24/11,387.33,296.87,409.84,389.82
11/27/11,382.7,293.32,416.09,395.77
11/28/11,388.14,297.49,429.12,408.16
11/29/11,393.81,301.65,430.79,409.75
11/30/11,394.28,301.97,426.46,405.64
12/1/11,396.05,303.33,422.66,402.02
12/4/11,394.35,302.02,421.42,400.84
12/5/11,393.94,301.71,432.11,410.95
12/6/11,396.57,303.51,438.34,416.88
12/7/11,399.22,305.54,437.52,416.1
12/8/11,399.17,305.47,440.54,418.93
12/11/11,400.66,306.61,432.11,410.91
12/12/11,395.47,302.64,436.93,415.44
12/13/11,398.16,304.55,437.63,416.1
12/14/11,398.34,304.7,432.7,411.41
12/15/11,394.78,301.97,423.4,402.57
12/18/11,391.31,299.32,425.66,404.72
12/19/11,391.67,299.59,426.85,405.85
12/20/11,392.43,300.14,433.77,412.43
12/21/11,393.01,300.59,440.32,418.66
12/22/11,397.89,303.87,444.08,422.23
12/25/11,399.58,305.16,445.04,423.15
12/27/11,398.86,304.59,437.81,416.26
12/28/11,395.1,301.71,438.05,416.49
12/29/11,396.37,302.68,432.93,411.62
1/1/12,392.26,299.55,424.09,403.21
1/3/12,386.98,295.48,423.17,402.34
1/4/12,385.83,294.6,404.07,384.18
1/5/12,383.63,292.93,400.99,381.25
1/8/12,390.32,298.03,389.79,370.61
1/9/12,389.24,297.18,398.43,378.82
1/10/12,392.54,299.69,399.73,380.04
1/11/12,395.47,301.93,391.7,372.41
1/12/12,387.39,295.75,401.97,382.17
1/15/12,386.5,295.06,392.52,373.19
1/16/12,381.43,291.19,384.04,365.13
1/17/12,380.83,290.49,377.94,359.32
1/18/12,375.74,286.58,379.46,360.77
1/19/12,371.81,283.59,367.8,349.69
1/23/12,366.44,279.49,367.42,349.32
1/24/12,370.66,282.67,378.45,359.81
1/25/12,369.48,281.73,371.89,353.57
1/26/12,364.43,277.89,373.46,355.06
1/29/12,368.84,281.25,373.56,355.13
1/30/12,368.24,280.79,373.81,355.35
1/31/12,366.45,279.43,378.84,360.14
2/1/12,371.87,283.56,382.04,363.18
2/2/12,375.26,286.14,375.62,357.06
2/5/12,372.55,284.08,364.46,346.3
2/6/12,365.58,278.76,359.62,341.6
2/7/12,364.58,278,358.8,340.82
2/8/12,370.13,282.17,363.38,345.17
2/9/12,367.29,280.01,367.44,349.03
2/12/12,371.04,282.87,366.78,348.38
2/13/12,374.73,285.68,375.88,357.01
2/14/12,375.73,286.42,368.23,349.75
2/15/12,372.26,283.73,366.29,347.9
2/16/12,373.65,284.79,362.65,344.28
2/20/12,373.45,284.62,368.94,350.25
2/21/12,374.03,285.07,365.32,346.8
2/22/12,372.68,284.02,366.33,347.76
2/23/12,374.96,285.76,368.6,349.91
2/26/12,377.38,287.6,372.34,353.47
2/27/12,380.24,289.78,375.4,356.33
2/28/12,379.6,289.29,372.49,353.55
2/29/12,377.51,287.67,363.69,345.2
3/1/12,371.17,282.83,361.35,342.98
3/4/12,372.8,284.06,363.05,344.59
3/5/12,373.59,284.66,366,347.38
3/6/12,374.88,285.44,359.17,340.9
3/7/12,371.43,282.78,359.31,341.03
3/8/12,369.61,281.4,355.95,337.81
3/11/12,368.27,280.38,368.83,350.02
3/12/12,374.93,285.45,366.63,347.89
3/13/12,374.02,284.34,367.42,348.63
3/14/12,374.02,284.34,359.6,341.21
3/15/12,368.07,279.81,358.01,339.7
3/18/12,366.89,278.55,372.98,353.9
3/19/12,375.76,285.29,362.48,343.94
3/20/12,373.57,283.6,368.67,349.81
3/21/12,379.59,288.17,378.58,359.22
3/25/12,383.38,291.05,379.23,359.83
3/26/12,384.48,291.87,375.09,355.91
3/27/12,383.37,291.03,366.26,347.52
3/28/12,382.55,290.41,364.68,346.02
3/29/12,382.86,290.64,367.15,348.36
4/1/12,383.61,291.22,380.07,360.62
4/2/12,389.3,295.54,378.43,359.06
4/3/12,386.63,293.47,378.91,359.52
4/4/12,386.63,293.47,379.92,360.47
4/5/12,387.09,293.81,378.69,359.31
4/8/12,386.77,293.57,374.85,355.66
4/9/12,385.94,292.91,373.88,354.75
4/10/12,382.99,290.67,379.6,360.16
4/11/12,384.22,291.6,368.8,349.91
4/12/12,381.3,289.36,367.09,348.29
4/15/12,381.57,289.57,367.41,348.59
4/16/12,383.42,290.97,378.74,359.34
4/17/12,385.36,292.16,379.36,359.93
4/18/12,383.9,291.04,392.1,372.02
4/19/12,384.07,291.17,395.11,374.87
4/22/12,385.05,291.9,390.33,370.34
4/23/12,381.84,289.42,395.77,375.5
4/24/12,384.92,291.75,399.94,379.46
4/25/12,384.27,291.25,395.24,375
4/26/12,382.35,289.8,393.66,373.48
4/29/12,383.22,290.46,395.99,375.67
4/30/12,384.6,291.48,392.57,372.42
5/1/12,382.78,290.1,405.3,384.49
5/2/12,385.02,291.8,404.89,384.11
5/3/12,384.7,291.56,402.47,381.65
5/6/12,384.37,291.31,406.32,385.3
5/7/12,384.89,291.7,400.56,379.7
5/8/12,381.55,289.12,403.19,382.18
5/9/12,382.19,289.61,401.4,380.49
5/10/12,379.49,287.55,406.62,385.44
5/13/12,382.75,290.03,407.03,385.63
5/14/12,382.55,289.82,408.38,386.9
5/15/12,384.64,291.27,416.95,395.02
5/16/12,387.7,293.58,416.94,395
5/17/12,388.27,294.02,414.67,392.85
5/20/12,387.78,293.62,408.74,387.23
5/21/12,384.63,291.23,400.92,379.82
5/22/12,381.08,288.53,402.79,381.6
5/23/12,385.25,291.69,400.61,379.53
5/24/12,383.8,290.59,408.04,386.57
5/28/12,385.63,291.98,409.55,387.94
5/29/12,383.88,290.65,412.26,390.49
5/30/12,388.03,293.75,414.63,392.73
5/31/12,388.13,293.82,408.74,387.16
6/3/12,384.9,291.37,406.91,385.42
6/4/12,383.98,290.67,410.81,389.12
6/5/12,386.13,292.08,417.65,395.6
6/6/12,390.41,295.32,405.84,384.41
6/7/12,380.69,287.94,405.12,383.69
6/10/12,381.56,288.59,404.05,382.68
6/11/12,384.83,291.07,394.5,373.6
6/12/12,381.38,288.14,397.3,376.22
6/13/12,383.65,289.84,405.32,383.82
6/14/12,383.77,289.92,407.09,385.49
6/17/12,379.51,286.7,403.89,382.46
6/18/12,377.73,285.37,398.69,377.54
6/19/12,373.58,282.23,403.51,382.1
6/20/12,375.08,283.36,393.55,372.68
6/21/12,370.47,279.85,391.09,370.34
6/24/12,369.54,279.15,389.79,369.12
6/25/12,370.45,279.82,395.74,374.75
6/26/12,375.06,283.22,381.71,361.45
6/27/12,367.5,277.28,380.1,359.93
6/28/12,362.98,273.87,376.32,356.35
7/1/12,363.11,273.97,377.7,357.65
7/2/12,365.16,275.49,371.03,351.34
7/3/12,364.82,275.21,371.33,351.62
7/4/12,367.52,277.25,374.22,354.35
7/8/12,367.63,277.34,377.91,357.85
7/9/12,373.02,281.37,365.72,346.31
7/10/12,371,279.84,370.37,350.71
7/11/12,370.93,279.78,366.95,347.46
7/12/12,369.21,278.47,363.32,344.02
7/15/12,369.86,278.96,364.11,344.77
7/16/12,370.04,279.1,372.48,352.69
7/17/12,373.34,281.31,376.86,356.84
7/18/12,371.55,279.94,371.38,351.65
7/19/12,369.33,278.26,368.88,349.28
7/22/12,366.75,276.33,368.41,348.84
7/23/12,374.08,281.8,373.57,353.73
7/24/12,375.81,283.1,366.38,346.92
7/25/12,372.32,280.46,372.13,352.36
7/26/12,372.11,280.3,364.24,344.9
7/29/12,369.11,278.04,372.02,352.23
7/30/12,376.51,283.62,373.96,354.06
7/31/12,380.47,286.58,371.62,351.84
8/1/12,375.54,282.87,369.26,349.61
8/2/12,375.42,282.77,367.86,348.27
8/5/12,379.94,286.18,378.27,357.96
8/6/12,388.34,292.51,383.36,362.65
8/7/12,389.56,293.41,383.16,362.46
8/8/12,382.36,287.93,391.65,370.48
8/9/12,391.28,294.64,393.33,372.07
8/12/12,392.86,295.83,393.2,371.93
8/13/12,394.46,297.03,392.79,371.53
8/14/12,392.31,295.26,395.55,374.14
8/15/12,393.17,295.91,395.72,374.3
8/16/12,397.27,298.99,390.45,369.31
8/19/12,393.51,296.13,385.29,364.26
8/20/12,390.71,294.01,386.55,365.45
8/21/12,390.02,293.49,385.64,364.59
8/22/12,388.64,292.44,391.44,370.07
8/23/12,393.13,295.82,384.48,363.5
8/26/12,387.23,291.38,382.99,362.08
8/27/12,386.66,290.95,386.11,364.96
8/28/12,387.86,291.85,389.34,368.01
8/29/12,390.3,293.62,379.74,358.94
8/30/12,385.49,289.98,374.48,353.97
9/3/12,389.52,293.01,368.03,347.87
9/4/12,389.55,292.82,356.05,336.55
9/5/12,385.16,289.52,355.19,335.73
9/6/12,388.95,292.36,357.1,337.5
9/9/12,396.99,298.38,349.3,330.13
9/10/12,394.59,296.57,351.92,332.57
9/11/12,396.27,297.83,356.59,336.96
9/12/12,401.42,301.09,356.84,337.2
9/13/12,401.03,300.8,343.92,324.99
9/16/12,395.01,296.29,345.82,326.78
9/17/12,395.97,297.01,328.86,310.76
9/18/12,383,287.28,341.96,323.14
9/19/12,391.44,293.58,352,332.62
9/20/12,390,292.5,339.31,320.63
9/23/12,379.9,284.82,336.47,317.95
9/24/12,376.62,282.36,338.93,320.27
9/25/12,378.21,283.55,345.64,326.61
9/26/12,384.43,288.21,346.41,327.32
9/27/12,386.88,290.05,314.48,297.15
9/30/12,370.61,277.85,331.45,313.19
10/1/12,380.55,285.3,324.25,306.38
10/2/12,385.95,289.31,310.03,292.95
10/3/12,380.87,285.49,307.56,290.62
10/4/12,378.04,283.37,295.21,278.95
10/7/12,365.16,273.71,277.33,262.05
10/8/12,353.18,264.74,275.07,259.92
10/9/12,347.24,260.25,265.66,251.01
10/10/12,324.91,243.51,263.55,249.02
10/11/12,317.83,238.2,295.56,279.26
10/14/12,344.7,258.35,284.02,268.36
10/15/12,335.66,251.57,262.22,247.76
10/16/12,315.43,236.41,274.84,259.68
10/17/12,329.22,246.75,274.15,259.03
10/18/12,329.49,246.92,283.15,267.54
10/21/12,339.79,254.65,267.45,252.7
10/22/12,334.52,250.69,255.34,241.26
10/23/12,322.32,241.22,255.62,241.52
10/24/12,324.15,242.59,248.93,235.2
10/25/12,312.92,234.17,242.76,229.37
10/28/12,306.1,229.07,269.78,254.9
10/29/12,334.37,250.23,266.24,251.51
10/30/12,327.68,245.2,272.24,257.18
10/31/12,335.79,251.26,272.49,257.42
11/1/12,339.01,253.68,270.81,255.82
11/4/12,339.24,253.85,280.56,265.03
11/5/12,347.06,259.7,265.29,250.45
11/6/12,336.29,251.64,251,236.83
11/7/12,328.04,245.4,257.44,242.91
11/8/12,334.94,250.57,252.47,238.2
11/11/12,334.7,250.39,247.28,233.31
11/12/12,329.68,246.63,234.72,221.43
11/13/12,318.86,238.51,249,234.88
11/14/12,333.09,249.13,236.88,223.46
11/15/12,323.47,241.93,230,216.96
11/18/12,319.37,238.86,234.61,221.12
11/19/12,323.83,242.17,220.95,208.24
11/20/12,313.07,234.11,210.64,198.51
11/21/12,301.21,225.24,222.81,209.98
11/22/12,317.2,237.18,236.3,222.69
11/25/12,325.82,243.63,232.68,219.29
11/26/12,323.59,241.95,242.45,228.49
11/27/12,328.47,245.37,241.91,227.98
11/29/12,332.81,248.57,223.73,210.85
12/2/12,314.44,234.83,231.36,218.04
12/3/12,318.37,237.76,237.62,223.93
12/4/12,323.95,241.71,227.76,214.63
12/5/12,318.86,237.91,236.67,223.03
12/6/12,329.46,245.81,248.94,234.59
12/9/12,329.75,246.02,247.8,233.47
12/10/12,320.9,239.42,249.58,235.12
12/11/12,322.54,240.65,241.43,227.41
12/12/12,319.44,238.15,247.29,232.93
12/13/12,319.8,238.42,243.09,228.94
12/16/12,319.74,238.37,254.83,239.98
12/17/12,326.96,243.75,250.41,235.83
12/18/12,324.84,242.18,244.24,230.01
12/19/12,325.85,242.88,246.41,232.05
12/20/12,324.74,242.06,241.13,227.08
12/23/12,324.65,241.82,238.93,225
12/24/12,321.56,239.15,239.43,225.48
12/25/12,324.38,241.25,239.88,225.91
12/27/12,325.12,241.79,238.6,224.69
12/30/12,324.37,241.23,244.09,229.86
12/31/12,328.99,244.63,246.16,231.81
1/1/13,331.72,246.66,256.71,241.74
1/3/13,337.53,250.98,256.92,241.94
1/6/13,336.72,250.37,264.71,249.27
1/7/13,333.2,247.76,254.97,240.1
1/8/13,329.4,244.93,257.18,242.18
1/9/13,325.31,241.86,250.77,236.13
1/10/13,321.15,238.76,247.22,232.79
1/13/13,319.64,237.64,246.71,232.3
1/14/13,322.09,239.46,238.01,224.12
1/15/13,314.77,234.02,240.3,226.27
1/16/13,315.83,234.81,242.78,228.61
1/17/13,319.56,237.58,229.8,216.38
1/21/13,314.69,233.96,242.3,228.15
1/22/13,316.23,234.79,236.65,222.84
1/23/13,315.92,234.5,240.5,226.46
1/24/13,313.08,232.4,242.96,228.78
1/27/13,315.4,234.11,245.79,231.44
1/28/13,316.73,235.09,253.98,239.11
1/29/13,320.08,237.56,245.75,231.36
1/30/13,317.07,235.32,238.65,224.68
1/31/13,306.87,227.76,242.2,228.01
2/3/13,304.97,226.34,246.6,232.16
2/4/13,311.8,231.41,247.85,233.18
2/5/13,303.66,225.37,253.2,238.21
2/6/13,308.12,228.68,262,246.36
2/7/13,313.24,232.48,262.79,247.1
2/10/13,309.15,229.45,251.32,236.3
2/11/13,299.15,222.02,252.69,237.57
2/12/13,301.15,223.47,254.17,238.96
2/13/13,304.9,226.23,253.66,238.48
2/14/13,301.37,223.58,242.36,227.66
2/18/13,296.13,219.67,243.38,228.61
2/19/13,298.24,221.24,235.36,221.09
2/20/13,301.35,223.55,235.73,221.44
2/21/13,296.98,220.3,225.28,211.61
2/24/13,289.81,214.97,233.03,218.9
2/25/13,295.26,219.01,232.74,218.57
2/26/13,292.62,217.04,229.73,215.73
2/27/13,285.87,211.97,228.97,215.01
2/28/13,284.95,211.27,221.6,208.09
3/3/13,277.49,205.74,222.18,208.63
3/4/13,275.33,204.14,228.14,214.22
3/5/13,280.02,207.38,220.08,206.65
3/6/13,272.86,202.07,218.01,204.71
3/7/13,274.77,203.45,212.64,199.62
3/10/13,269.83,199.8,228.42,214.43
3/11/13,276.51,204.75,233.27,218.96
3/12/13,275.65,203.75,239.66,224.95
3/13/13,283.09,209.09,239.39,224.7
3/14/13,288.03,212.74,235.28,220.84
3/17/13,290.55,214.6,244.43,229.43
3/18/13,295.61,218.33,247.83,232.62
3/19/13,294.08,217.2,248.9,233.62
3/20/13,290.19,214.33,244.81,229.79
3/21/13,290.54,214.56,260.43,244.45
3/24/13,302,222.65,255.98,240.27
3/25/13,300.53,221.56,256.19,240.46
3/26/13,304.07,224.17,266.44,250.08
3/27/13,306.86,226.23,259.19,243.26
3/28/13,304.07,224.17,251.71,236.25
3/31/13,297.4,219.25,256.76,240.99
4/1/13,296.75,218.77,262.59,246.46
4/2/13,301.81,222.47,270.91,254.26
4/3/13,307.53,226.66,274.52,257.66
4/4/13,307.12,226.35,271.66,254.94
4/7/13,307.06,226.32,264.34,248.07
4/8/13,302.61,223,268.93,252.37
4/9/13,305.31,224.99,277.64,260.53
4/10/13,305.25,224.94,276.15,259.13
4/14/13,303.8,223.88,273.7,256.83
4/15/13,299.77,220.9,271.92,255.16
4/16/13,304.66,224.5,280.6,263.3
4/17/13,308.47,227.32,279.92,262.67
4/18/13,309.29,227.92,271.09,254.39
4/21/13,303.95,223.95,276.57,259.52
4/22/13,305.2,224.87,277.14,260.06
4/23/13,301.53,221.8,278.36,261.2
4/24/13,301.01,221.4,285.39,267.8
4/25/13,301.33,221.64,282.86,265.43
4/28/13,301.67,221.89,281.27,263.91
4/29/13,302.89,222.79,286.84,269.11
4/30/13,307.54,226.18,287.79,270.01
5/1/13,306.48,225.41,289.45,271.57
5/2/13,307.89,226.44,295.07,276.83
5/5/13,312.61,229.91,293.93,275.62
5/6/13,310.47,228.34,294.14,275.68
5/7/13,312.23,229.64,284.83,266.95
5/8/13,313.62,230.66,284.73,266.85
5/9/13,316.07,232.46,284.84,266.95
5/12/13,313.95,230.9,283.11,265.31
5/13/13,318.14,233.98,276.12,258.74
5/14/13,315.04,231.51,280.02,262.39
5/15/13,316.05,232.25,279.76,262.15
5/16/13,314.38,231.02,287.25,269.17
5/19/13,320.39,235.44,289.16,270.76
5/20/13,320.71,235.6,287.06,268.79
5/21/13,322.12,236.63,282.33,264.36
5/22/13,319.62,234.79,281.04,263.15
5/23/13,321.04,235.83,290.19,271.72
5/27/13,323.93,237.95,288.3,269.88
5/28/13,317.5,233.22,292.09,273.41
5/29/13,321.07,235.75,295.38,276.49
5/30/13,323.79,237.75,305.15,285.64
6/2/13,330.57,242.73,303.69,284.27
6/3/13,334.19,245.39,302.31,282.98
6/4/13,332.63,244,306.8,287.18
6/5/13,332.95,244.23,308.09,288.39
6/6/13,331.85,243.43,307.24,287.55
6/9/13,332.11,243.58,310.05,290.19
6/10/13,329.9,241.96,310.06,290.16
6/11/13,327.35,240.08,311.15,291.18
6/12/13,327.46,239.8,310.57,290.64
6/13/13,329.31,241.16,305.59,285.98
6/16/13,322.49,236.16,302.47,283.05
6/17/13,318.85,233.49,304.4,284.86
6/18/13,320.31,234.56,303.01,283.56
6/19/13,326.48,239.08,306.64,286.95
6/20/13,324.26,237.46,298.12,278.98
6/23/13,322.08,235.56,297.69,278.57
6/24/13,321.05,234.8,301.75,282.38
6/25/13,321.7,235.27,307.5,287.75
6/26/13,326.55,238.82,307.25,287.51
6/27/13,326.39,238.6,309.32,289.45
6/30/13,328.55,240.18,307.37,287.63
7/1/13,325.87,238.18,309.19,289.33
7/2/13,331.43,242.23,301.9,282.5
7/3/13,325.86,238.16,300.81,281.48
7/7/13,330.79,241.76,293.26,274.42
7/8/13,327.35,239.25,293.71,274.84
7/9/13,328.29,239.9,295.41,276.43
7/10/13,326.38,238.5,296.54,277.48
7/11/13,324.81,237.35,302.86,283.36
7/14/13,329.71,240.94,303.6,284.06
7/15/13,331.04,241.9,316.44,296.07
7/16/13,337.23,246.43,321.68,300.98
7/17/13,338.37,247.26,324.93,304.02
7/18/13,339.21,247.87,328.09,306.97
7/21/13,339.79,248.29,329.79,308.56
7/22/13,339.57,248.11,331.38,310.05
7/23/13,339.17,247.44,337.74,316
7/24/13,343.14,250.32,335.52,313.92
7/25/13,345.7,252.19,334.67,313.13
7/28/13,345.62,252.13,335.71,314.1
7/29/13,345.38,251.96,334.65,313.08
7/30/13,346.79,252.97,336.26,314.57
7/31/13,347.54,253.51,335.57,313.92
8/1/13,346.63,252.85,340.42,318.46
8/4/13,346.84,253,340.13,318.18
8/5/13,347.97,253.82,337.32,315.4
8/6/13,344.5,251.29,335.08,313.16
8/7/13,341.51,249.12,338.26,316.13
8/8/13,343.05,250.23,336.34,314.34
8/11/13,343.66,250.68,332.95,311.16
8/12/13,342.7,249.98,338.51,316.34
8/13/13,342.94,249.96,341.53,319.16
8/14/13,344.2,250.86,338.4,316.23
8/15/13,343.85,250.6,329.44,307.86
8/18/13,340.79,248.37,334.47,312.35
8/19/13,342.01,249.24,335.84,313.63
8/20/13,344.16,250.77,339.36,316.92
8/21/13,346.13,252.21,344.55,321.76
8/22/13,349.92,254.96,344.28,321.51
8/25/13,349.44,254.61,344.65,321.85
8/26/13,349.96,254.99,344.9,322.03
8/27/13,351.23,255.91,346.16,323.19
8/28/13,350.52,255.39,347.25,324.21
8/29/13,348.76,254.03,344.14,321.3
9/1/13,349.95,254.89,337.51,315.11
9/2/13,346.2,252.16,337.37,314.98
9/3/13,347.06,252.55,339.09,316.58
9/4/13,348.61,253.65,344.79,321.91
9/5/13,351.09,255.46,347.35,324.29
9/9/13,354.1,257.61,350.1,326.83
9/10/13,353.84,257.41,354.79,331.21
9/11/13,356.22,259.14,354.28,330.73
9/12/13,357.54,259.73,354.55,330.94
9/15/13,357.53,259.72,356.62,332.87
9/16/13,355.36,258.14,360.11,336.13
9/17/13,357.66,259.82,359.34,335.41
9/18/13,357.52,259.72,359.83,335.87
9/19/13,361.64,262.67,359.97,336
9/22/13,361.12,262.3,361.29,337.23
9/23/13,361.13,262.29,360.07,336.09
9/24/13,361.01,262.21,357.76,333.94
9/25/13,359.81,261.06,355.27,331.61
9/26/13,358.94,260.43,361.44,337.36
9/29/13,360.71,261.61,358.94,335.02
9/30/13,362.28,262.75,359.61,335.65
10/1/13,362.9,263.19,349.29,326.02
10/2/13,359.51,260.72,348.12,324.92
10/3/13,361.51,262.17,351,327.61
10/6/13,362.21,262.68,357.67,333.84
10/7/13,365.36,264.93,359.34,335.4
10/8/13,366.63,265.82,360.76,336.72
10/9/13,368.73,267.34,364.83,340.49
10/10/13,369.53,267.92,365.85,341.43
10/13/13,370.1,268.33,365.87,341.46
10/14/13,369.26,267.72,371.21,346.44
10/15/13,371.16,269.1,371.14,346.37
10/16/13,374.28,271.35,367.45,342.93
10/17/13,375.71,272.4,371.07,346.31
10/20/13,377.72,273.85,371.09,346.32
10/21/13,377.1,273.38,370.3,345.59
10/22/13,374.34,271.04,372.45,347.59
10/23/13,375.09,271.53,371.29,346.51
10/24/13,371,268.57,370.09,345.39
10/27/13,368.16,266.49,366.66,342.19
10/28/13,368.81,266.97,360.07,336.02
10/29/13,367.42,265.94,367.17,342.62
10/30/13,373.95,270.67,358.33,334.37
10/31/13,367.42,265.94,359.81,335.75
11/3/13,371.25,268.71,358.77,334.77
11/4/13,368.81,266.94,361.33,337.01
11/5/13,370.46,268.14,369.21,344.36
11/6/13,372.61,269.7,369.76,344.73
11/7/13,373.89,270.62,377.86,352.27
11/10/13,379.38,274.59,377.82,352.22
11/11/13,379.57,274.72,380.06,354.31
11/12/13,380.57,275.45,378.42,352.76
11/13/13,378.6,273.97,381.8,355.9
11/14/13,381.18,275.84,385.69,359.52
11/17/13,383.94,277.83,387.66,361.16
11/18/13,384.6,278.29,385.67,359.31
11/19/13,384.59,278.26,379.51,353.56
11/20/13,383.31,277.34,377.06,351.28
11/21/13,383.5,277.47,383.12,356.88
11/24/13,387.39,280.28,381.33,355.21
11/25/13,387.6,280.42,382.02,355.84
11/26/13,387.66,280.44,375.86,350.11
11/28/13,383.97,277.47,376.93,351.1
12/1/13,382.12,276.11,381.99,355.82
12/2/13,387.2,279.78,381.57,355.41
12/3/13,387.48,279.74,380.96,354.84
12/4/13,384.53,277.6,384.25,357.91
12/5/13,386.27,278.86,382.39,356.18
12/8/13,386.73,279.19,379.47,353.46
12/9/13,382.35,275.99,382.95,356.66
12/10/13,382.58,276.01,384.64,358.24
12/11/13,384.31,277.26,383.41,357.1
12/12/13,385.68,278.25,386.79,360.2
12/15/13,386.99,279.2,384.72,358.28
12/16/13,385.31,277.98,386.11,359.57
12/17/13,383.84,276.93,381.53,355.3
12/18/13,378.91,273.36,387.5,360.85
12/19/13,377.84,272.55,391.64,364.71
12/22/13,380.75,274.65,393.89,366.8
12/23/13,382.41,275.84,396.2,368.95
12/24/13,383.24,276.17,400.18,372.66
12/25/13,384.39,277,401.06,373.48
12/29/13,385.34,277.39,400.67,373.11
12/30/13,385.79,277.67,402.5,374.81
12/31/13,385.5,277.45,398.1,370.71
1/1/14,381.11,274.3,404.27,376.46
1/5/14,384.87,277,404.13,376.33
1/6/14,384.45,276.7,400.6,373.03
1/7/14,383.97,276.35,399.05,371.6
1/8/14,383.91,276.28,402.21,374.53
1/9/14,381.96,274.87,400.48,372.93
1/12/14,383.5,275.98,395.89,368.66
1/13/14,385.54,277.45,399.65,372.15
1/14/14,388.13,279.31,402.45,374.72
1/15/14,387.93,279.16,397.35,369.97
1/16/14,385.39,277.34,403.59,375.79
1/20/14,387.84,279.1,397.72,370.32
1/21/14,384.49,276.34,393.74,366.61
1/22/14,378.81,272.21,378.42,352.35
1/23/14,377.54,271.3,381.06,354.81
1/26/14,378.31,271.85,381.07,354.81
1/27/14,378.35,271.86,383.41,357
1/28/14,378.82,272.18,372.19,346.5
1/29/14,377.87,271.5,364.54,339.38
1/30/14,377.01,270.88,369.93,344.4
2/2/14,380.03,273.05,372.85,347.12
2/3/14,384.94,276.57,374.12,348.13
2/4/14,382.96,275.15,363.35,338.11
2/5/14,374.04,268.74,367.33,341.82
2/6/14,373.73,268.52,365.56,340.02
2/9/14,372.51,267.64,369.31,343.51
2/10/14,377.66,271.35,368.2,342.45
2/11/14,377.08,270.88,372.39,346.34
2/12/14,380.39,273.26,372.61,346.55
2/13/14,379.49,272.61,378.7,352.01
2/17/14,384.12,275.89,380.14,353.34
2/18/14,386.94,277.91,383.28,356.26
2/19/14,389.67,279.87,382.82,355.83
2/20/14,390.03,280.11,381.76,354.84
2/23/14,389.44,279.68,376.54,349.98
2/24/14,387.25,278.1,380.58,353.66
2/25/14,390.02,280.08,379.66,352.81
2/26/14,389.56,279.68,379.91,353.04
2/27/14,387.51,278.19,385.49,358.23
3/2/14,390.1,280.05,384.65,357.45
3/3/14,391.61,281.13,384.89,357.66
3/4/14,392.43,281.48,386.79,359.42
3/5/14,394.1,282.67,392.21,364.46
3/6/14,396.12,284.11,393.51,365.66
3/9/14,394.72,283.07,395.04,367.08
3/10/14,394.03,282.58,398.1,369.89
3/11/14,393.43,281.99,399.73,371.41
