^GSPC,20040102,1111.92,1118.85,1105.08,1108.48,1153200000,1108.48
^GSPC,20040105,1108.48,1122.22,1108.48,1122.22,1578200000,1122.22
^GSPC,20040106,1122.22,1124.46,1118.44,1123.67,1494500000,1123.67
^GSPC,20040107,1123.67,1126.33,1116.45,1126.33,1704900000,1126.33
^GSPC,20040108,1126.33,1131.92,1124.91,1131.92,1868400000,1131.92
^GSPC,20040109,1131.92,1131.92,1120.90,1121.86,1720700000,1121.86
^GSPC,20040112,1121.86,1127.85,1120.90,1127.23,1510200000,1127.23
^GSPC,20040113,1127.23,1129.07,1115.19,1121.22,1595900000,1121.22
^GSPC,20040114,1121.22,1130.75,1121.22,1130.52,1514600000,1130.52
^GSPC,20040115,1130.52,1137.11,1124.54,1132.05,1695000000,1132.05
^GSPC,20040116,1132.05,1139.83,1132.05,1139.83,1721100000,1139.83
^GSPC,20040120,1139.83,1142.93,1135.40,1138.77,1698200000,1138.77
^GSPC,20040121,1138.77,1149.21,1134.62,1147.62,1757600000,1147.62
^GSPC,20040122,1147.62,1150.51,1143.01,1143.94,1693700000,1143.94
^GSPC,20040123,1143.94,1150.31,1136.85,1141.55,1561200000,1141.55
^GSPC,20040126,1141.55,1155.38,1141.00,1155.37,1480600000,1155.37
^GSPC,20040127,1155.37,1155.37,1144.05,1144.05,1673100000,1144.05
^GSPC,20040128,1144.05,1149.14,1126.50,1128.48,1842000000,1128.48
^GSPC,20040129,1128.48,1134.39,1122.38,1134.11,1921900000,1134.11
^GSPC,20040130,1134.11,1134.17,1127.73,1131.13,1635000000,1131.13
^GSPC,20040202,1131.13,1142.45,1127.87,1135.26,1599200000,1135.26
^GSPC,20040203,1135.26,1137.44,1131.33,1136.03,1476900000,1136.03
^GSPC,20040204,1136.03,1136.03,1124.74,1126.52,1634800000,1126.52
^GSPC,20040205,1126.52,1131.17,1124.44,1128.59,1566600000,1128.59
^GSPC,20040206,1128.59,1142.79,1128.39,1142.76,1477600000,1142.76
^GSPC,20040209,1142.76,1144.46,1139.21,1139.81,1303500000,1139.81
^GSPC,20040210,1139.81,1147.02,1138.70,1145.54,1403900000,1145.54
^GSPC,20040211,1145.54,1158.89,1142.33,1157.76,1699300000,1157.76
^GSPC,20040212,1157.76,1157.76,1151.44,1152.11,1464300000,1152.11
^GSPC,20040213,1152.11,1156.88,1143.24,1145.81,1329200000,1145.81
^GSPC,20040217,1145.81,1158.98,1145.81,1156.99,1396500000,1156.99
^GSPC,20040218,1156.99,1157.40,1149.54,1151.82,1382400000,1151.82
^GSPC,20040219,1151.82,1158.57,1146.85,1147.06,1562800000,1147.06
^GSPC,20040220,1147.06,1149.81,1139.00,1144.11,1479600000,1144.11
^GSPC,20040223,1144.11,1146.69,1136.98,1140.99,1380400000,1140.99
^GSPC,20040224,1140.99,1144.54,1134.43,1139.09,1543600000,1139.09
^GSPC,20040225,1139.09,1145.24,1138.96,1143.67,1360700000,1143.67
^GSPC,20040226,1143.67,1147.23,1138.62,1144.91,1383900000,1144.91
^GSPC,20040227,1145.80,1151.68,1141.80,1144.94,1540400000,1144.94
^GSPC,20040301,1144.94,1157.45,1144.94,1155.97,1497100000,1155.97
^GSPC,20040302,1155.97,1156.54,1147.31,1149.10,1476000000,1149.10
^GSPC,20040303,1149.10,1152.44,1143.78,1151.03,1334500000,1151.03
^GSPC,20040304,1151.03,1154.97,1149.81,1154.87,1265800000,1154.87
^GSPC,20040305,1154.87,1163.23,1148.77,1156.86,1398200000,1156.86
^GSPC,20040308,1156.86,1159.94,1146.97,1147.20,1254400000,1147.20
^GSPC,20040309,1147.20,1147.32,1136.84,1140.58,1499400000,1140.58
^GSPC,20040310,1140.58,1141.45,1122.53,1123.89,1648400000,1123.89
